words,count
jsn,13
puka,12
nacua,10
allen,9
josh,7
adams,4
cook,4
burden,3
cmc,3
davante,3
diggs,3
luther,3
sutton,3
boutte,2
christian,2
defense,2
franklin,2
jake,2
kirk,2
kupp,2
moore,2
nix,2
odunze,2
tonges,2
troy,2
bo,1
brandin,1
charlie,1
cmac,1
coleman,1
collins,1
cooks,1
cooper,1
courtland,1
derek,1
devonte,1
dj,1
drake,1
harvey,1
higgins,1
houston,1
iii,1
james,1
jayden,1
jordan,1
juszczyk,1
keon,1
maye,1
mccaffrey,1
mitch,1
njigba,1
odzune,1
puca,1
rj,1
shakir,1
stingley,1
texans,1
trubisky,1
whittington,1
